epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,15860.3,0.46475,0.74162,0.49547,0.9235,0.871,0.72035,0.8129,0.72694,0.86792,0.72651,0.80958,0.69715,0.4235,0.90588,0.5098,0.90211,0.006931,0.006931,0.006931
95,16028.8,0.46452,0.7447,0.49199,0.92202,0.86416,0.72562,0.81062,0.72593,0.86967,0.72652,0.80891,0.69644,0.42039,0.90507,0.50947,0.90003,0.006898,0.006898,0.006898
96,16197.4,0.46306,0.73751,0.4833,0.92378,0.85394,0.7304,0.80843,0.72317,0.87005,0.72246,0.80645,0.69506,0.42347,0.90447,0.51457,0.90378,0.006865,0.006865,0.006865
97,16366,0.45616,0.73722,0.47787,0.92041,0.85794,0.72165,0.80731,0.72269,0.86506,0.72262,0.80532,0.69345,0.42382,0.9061,0.5166,0.90497,0.006832,0.006832,0.006832
98,16534.1,0.45418,0.73021,0.48301,0.92238,0.86403,0.72278,0.80816,0.72235,0.8705,0.72097,0.80674,0.69307,0.42536,0.90567,0.51841,0.90527,0.006799,0.006799,0.006799
99,16702.8,0.45886,0.73436,0.48063,0.91917,0.86506,0.72294,0.80892,0.72359,0.86883,0.72327,0.80721,0.69409,0.42281,0.91147,0.51272,0.90292,0.006766,0.006766,0.006766
100,16871.1,0.45823,0.73111,0.4792,0.91849,0.869,0.72443,0.81048,0.72556,0.8725,0.72512,0.80874,0.69544,0.42011,0.91221,0.50843,0.90149,0.006733,0.006733,0.006733
101,17039.7,0.45724,0.72561,0.47684,0.92094,0.87408,0.72206,0.81095,0.72576,0.87902,0.71776,0.80785,0.69527,0.42056,0.91034,0.50806,0.90129,0.0067,0.0067,0.0067
102,17208,0.4529,0.72351,0.47074,0.91729,0.86091,0.72805,0.81114,0.72608,0.88539,0.71549,0.80793,0.69636,0.41893,0.90455,0.50914,0.90037,0.006667,0.006667,0.006667
103,17376.5,0.45407,0.72702,0.47497,0.91881,0.86345,0.73152,0.81244,0.72677,0.87673,0.72364,0.80927,0.69641,0.41756,0.90289,0.51062,0.89984,0.006634,0.006634,0.006634
